Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
HIDALGO                  ,HUEJUTLA DE REY,"21.143605,-98.4153413,21",1644,1716000,1812000,1371000,1094000,2146000,1724000,1472000,1247000,1680000,1400000,1328000,1094000
OAXACA                   ,TLACOLULA DE MA,"16.9548477,-96.4773282,19",1645,0,0,0,0,0,0,0,0,0,0,0,0
COAHUILA                 ,MONCLOVA       ,"26.894501,-101.42048,20.25",1646,12652000,6652000,4570000,4669000,5009000,4122000,494000,0,0,0,0,0
ESTADO DE MEXICO         ,ECATEPEC DE MOR,"19.5904116,-99.0982697,12.25",1647,4528000,0,0,0,0,0,0,0,0,0,0,0
ESTADO DE MEXICO         ,TECAMAC        ,"19.6585923,-99.0940492,13",1648,2175000,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO               ,LEON           ,"21.103039,-101.6997102,14",1649,8508000,5582000,4596000,4296000,4472000,4221000,4263000,4270000,3767000,3392000,1674000,0
CHIAPAS                  ,TUXTLA GUTIERRE,"16.7543428,-93.1508905,18.25",1650,0,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO               ,ACAMBARO       ,"20.0265404,-100.7347163,14.08",1651,2092000,3536000,1698000,1589000,1898000,1552000,1684000,1678000,1581000,1799000,1342000,1996000
CHIAPAS                  ,PALENQUE       ,"17.5117131,-91.9920937,20.29",1652,2079000,2515000,1484000,1646000,1658000,1850000,1318000,2211000,2091000,1303000,1438000,1154000
CHIHUAHUA                ,CD JUAREZ      ,"31.630271,-106.4268343,14",1653,34209000,24660000,19550000,16888000,18971000,18699000,15751000,19544000,15543000,14375000,13854000,7265000
DISTRITO FEDERAL         ,TLALPAN        ,"19.2989117,-99.2839944,13",1654,12235000,9003000,7134000,6929000,7925000,7671000,6798000,8377000,6555000,7094000,5776000,6712000
SINALOA                  ,LOS MOCHIS     ,"25.7853044,-109.0061507,15.58",1655,2924000,1305000,971000,881000,1156000,1306000,1139000,1392000,1330000,979000,951000,848000
QUERETARO                ,QUERETARO      ,"20.6666371,-100.4045937,20",1656,4882000,3371000,2834000,2678000,3190000,2558000,2183000,2427000,1949000,1641000,1375000,1419000
HIDALGO                  ,PROGRESO DE OBR,"20.2449524,-99.1918569,19.25",1657,1942000,1954000,1417000,1405000,1285000,1777000,1678000,1408000,995000,1107000,1101000,1079000
