Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
GUERRERO                 ,TECPAN DE GA   ,31.7368845,-106.4905236,1341,25462.58,25460.75,29965.7073,26200.06,26200.04,25134.09,29965.7073,24496.63,24550.04,24306.06,24076.35,28196.7928
YUCATAN                  ,MERIDA         ,25.7878873,-109.0500583,1342,17413.74,17267.73,26627.10874,32206.53,38630.4345,17557.94,26627.10874,38794.2345,38890.4345,45696.0945,47915.9845,78068.93889
PUEBLA                   ,ATEMPAN        ,19.2905535,-99.7392341,1343,24319.5046,19246.8473,22866.5046,15049.9573,19553.0073,24076.5046,22866.5046,15213.75833,14821.5273,14462.9573,14462.9573,16777.03047
PUEBLA                   ,PUEBLA         ,19.2017315,-97.4910002,1344,22988.18,22988.18,21535.18,22988.18,22988.18,22745.18,21535.18,23643.38,23218.15,22190.25,22190.25,25740.69
PUEBLA                   ,TLACHICHUCA    ,25.7643103,-100.4832959,1345,14050.6873,14050.6873,12597.6873,14050.6873,14050.6873,13807.6873,12597.6873,12628.28833,12549.6173,11877.4873,11877.4873,13777.88527
SAN LUIS POTOSI          ,AXTLA DE TERRA ,25.3773971,-101.0166695,1346,22656.77,22654.96,26980.79874,19343.37,25767.2745,22328.28,26980.79874,25574.8745,25767.2745,25523.2745,25293.5845,29606.99842
ESTADO DE MEXICO         ,IXTAPALUCA     ,20.0278105,-102.3976813,1347,16382.15,16382.15,14929.15,13563.35,11522.15,15909.46,14929.15,10848.77,10836.15,10592.15,10362.46,12286.894
OAXACA                   ,OAXACA         ,18.9052,-98.4391248,1348,12288.9,12288.9,14103.4073,59744.42,59744.42,11816.21,14103.4073,57474.9673,57763.5673,57519.57,57289.88,75992.24807
HIDALGO                  ,TEPEAPULCO     ,15.8670253,-97.0720912,1349,24243.58,24243.58,21291.59,22744.59,22744.59,23770.89,21291.59,23072.19,22179.19,21814.59,21584.9,25304.9244
SONORA                   ,MOCTEZUMA      ,19.1623367,-96.1675778,1350,21990.36,21988.55,26766.55874,19129.13,25553.0345,21661.87,26766.55874,25880.6345,26073.0345,25829.0345,25599.3445,29961.68002
